SampleID	Pyruvate.Oxidation	Alcohol.Utilization	Lactate.Utilization	Acetogenesis	Acetate.to.Acetyl-CoA	Pyruvate.to.Acetyl-CoA 	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_SCSIO43095	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_lipolytica_CSB02KR	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_lipolytica_LMEB39	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_luteoviolacea_2ta16	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_maricaloris_LMG19692	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_neustronica_PAMC28425	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_neustronica_SM1927	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_ostereae_hOe124	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_ostereae_hOe125	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_ostereae_hOe66	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_peptidolytica_DSM14001	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_peptidolytica_F1250A1	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_peptidolytica_NBRC101021	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_phenolica_KCTC12086	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_phenolica_OBC302	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_phenolica_S1093	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_phenolica_S1189	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_phenolica_S3663	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_phenolica_S3898	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_piratica_OCN003	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_porphyrae_MNAD16	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_rhizosphaerae_hCg42	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_rubra_DSM6842	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_rubra_S1946	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_rubra_S2471	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_rubra_SCSIO_6842	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_ruthenica_LMG19699	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_ruthenica_S2756	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_ruthenica_S3245	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_scap25	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_scap26	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_shioyasakiensis_28	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_shioyasakiensis_BMC2	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_shioyasakiensis_BMC3	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_shioyasakiensis_BMC4	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_shioyasakiensis_BMC5	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_shioyasakiensis_G21653S1	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_shioyasakiensis_LC2	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_shioyasakiensis_M1400201	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_spongiae_SAO44	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_spongiae_UST010723006	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_tetradonis_CSB01KR	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_translucida_KMM520	Absent	Absent	Absent	Absent	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_tunicata_D2	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_undina_DSM6065	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_undina_NEM01	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_undina_NEM02	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_viridis_BBR56	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_xiamenensis_PSDB	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
