SampleID	Pyruvate.Oxidation	Alcohol.Utilization	Lactate.Utilization	Acetogenesis	Acetate.to.Acetyl-CoA	Pyruvate.to.Acetyl-CoA 	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_D15MCD2	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_DL2H1	Absent	Alcohol.Utilization	Absent	Acetogenesis	Absent	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_DL2H22	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_DL2H6	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_DSM17587	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_EB27	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_ECSMB14103	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_EKP108	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Absent
P_FE4	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_G4	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_HMSA03	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_Hal040	Absent	Absent	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Absent
P_JC28	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_JC3	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_JC31	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Acetate.to.Acetaldehyde	Acetaldehyde.to.Ethanol
P_JW3	Absent	Alcohol.Utilization	Absent	Acetogenesis	Acetate.to.Acetyl-CoA	Absent	Absent	Acetaldehyde.to.Ethanol
