ACC,metoncholaimus.1,sphaerolaimus.1,sphaerolaimus.2,oncholaimidae.1,oncholaimidae.2,thoracostoma.10,thoracostoma.11,epacanthion.1,epacanthion.2,thoracostoma.1,pontonema.1,oncholaimidae.3,pontonema.2,thoracostoma.2,oncholaimidae.4,thoracostoma.3,pontonema.3,thoracostoma.4,thoracostoma.5,oncholaimidae.5,oncholaimidae.6,oncholaimidae.7,oncholaimidae.8,sphaerolaimus.3,thoracostoma.6,thoracostoma.7,oncholaimidae.9,epacanthion.3,enoplolaimus.1,enoplolaimus.2,thoracostoma.8,thoracostoma.9,adoncholaimus.1,adoncholaimus.2,adoncholaimus.3,adoncholaimus.4,adoncholaimus.5,adoncholaimus.6,adoncholaimus.7,adoncholaimus.8,adoncholaimus.9,adoncholaimus.10,adoncholaimus.11
P_NJ631,0.001498107,0,6.05E-05,0,0,1.10E-05,0,0.000736584,0,0,0,0,0,0,0.000552591,0,0,0,0,0.012878812,0,0,0,2.98E-05,0,0,0,0,0,0,0,0,0,0,1.31E-05,0,0,0,0,2.64E-06,0,0,0
P_OANN1,0.001506796,0,0.0001228,0.000222003,4.07E-05,1.12E-05,0,8.30E-05,3.21E-05,0,0,0,0,0,0.000159633,0,0,0,0,0.000715218,0,0,0,1.51E-05,0,0,0,0,0,1.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,2.29E-06
P_OF5H5,0.001298111,0,0,6.91E-05,2.54E-05,5.23E-06,0,0.000368534,0.000180153,0,0,0,0,0,9.77E-05,0,0,0,0,0.000684616,0,0,0,0,0,0,0,4.00E-05,0,0,0,0,0,0,6.20E-06,0,0,0,0,0,0,0,0
P_OF7H1,0.003227775,0.000279416,0.00029551,0.000284926,0.000300591,1.08E-05,0,0.002997133,0.000618604,0,0,0,6.40E-06,0,0.001309755,0,0,0,0,0.161821881,0,0,0,0.000247353,0,0,0,0.000164686,0,0,0,6.59E-06,0,0,0,0,0,0,6.65E-05,0,0,0,0
P_OFAV1,0.003667217,0.000151827,0.000192687,0,0.000142029,0,6.24E-06,0.002258272,0.001075625,0,0,0,0,0,0.000367771,0,0,0,0,0.005891523,0,0,0,0,0,0,0,4.47E-05,0,0,0,0,0,0,2.08E-05,0,0,0,0,2.80E-06,1.87E-06,0,4.79E-06
P_OOF1S7,0.002840638,6.80E-05,0.00017263,0.000208059,5.09E-05,2.62E-05,2.80E-06,0.00019454,0.000150573,7.86E-06,0,0,0,0,0.00012111,0,0,0,0,0.000854803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02E-06,0,0,8.58E-06
P_Of11M6,0.000599294,0,0.000239701,0.000288895,2.65E-05,5.46E-06,0,0.000162074,0.000156805,0,0,0,0,0,0.000242972,0,0,0,0,0.000323483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30E-05,4.65E-06,0,0,0,0,0,0,2.23E-06
P_Of5H6,0.001249893,0,0.000229606,6.92E-05,5.08E-05,1.05E-05,0,0.000446339,6.01E-05,7.84E-06,0,0,0,0,9.77E-05,1.51E-05,0,0,0,0.00060807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50E-06,0,0,0
P_Of7M16,0.000824706,5.80E-05,0.000392492,0.000118261,0.000119338,9.84E-05,9.30E-05,0.000331729,2.57E-05,0.00334896,0,0,2.13E-05,0.001068756,0.000145776,0.002317515,0,0.001845388,0.002279873,0.000605345,0,0,0,2.42E-05,0.002175755,0.003238006,0,3.42E-05,9.30E-05,8.47E-05,0.001332843,0.001482785,0,0,2.12E-05,0,0,0,0,0,0,0,7.32E-06
P_P111,2.978941243,0.001748319,0.003845964,0.004546132,0.001619138,2.02E-05,1.80E-05,0.000150026,0,0,0,0,0,0,5.49E-05,0,0,0,0,0.000882547,0,0,0,0,0,0,0,0,0,0,0,8.25E-06,0,0,0,0,0,0,0,0,0,0,5.52E-06
P_P18,0.001918575,0.000170512,0.000649202,0.00104325,0.000111656,1.31E-05,7.01E-06,0.000170706,0.00011325,0,0,0,0,0,0.000785878,0,0,9.49E-06,0,0.000690936,0,0,0,8.88E-05,0,2.38E-05,0,0.000401995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_P19,0.002989984,0.000159185,0.000942784,0.000324649,0.000104239,1.84E-05,1.31E-05,0.00104726,0.000740089,0,3.45E-05,0,0,0,0.001902961,0,0,0,0,0.003894824,0,0,0,6.63E-05,0,0,0,4.69E-05,0,0,0,0,0,0,2.18E-05,0,0,0,0,0,7.83E-06,0,1.00E-05
P_P94,0.003480191,0.000243161,0.000257167,0,0.000193348,0.000342221,8.75E-05,0.000330378,0.000699839,0,5.28E-06,0.000732486,0,9.34E-05,7.80E-05,0,0,6.09E-05,0.000208843,0.000434207,0.000107674,0,0,2.53E-05,6.79E-05,0.000118809,0,0.001146537,0.004226846,0.00211302,3.94E-05,0,0,0,0,0,0,0,0,0,0,3.92E-06,0
P_PA2MD11,0.004451654,0.000336427,7.12E-05,0.000257296,6.29E-05,1.30E-05,0,0.00139535,7.45E-05,0,0,0,0,0,0.000933863,0,0,0,0,0.003448542,0,0,0,0,0,0,0,0.000148716,0,0,0,0,0,0,0,1.10E-05,0,0,0,3.10E-06,2.07E-06,0,0
P_PAST1,0.008047724,0.000154057,0.001303449,0.000314191,0.000403523,5.94E-06,6.33E-06,0.015687603,0.005764096,1.78E-05,0.000120314,0,7.06E-05,0,0.00474838,0,0,1.71E-05,8.82E-05,0.10604466,0,0,0,0.000385072,2.65E-05,0,0,0.000908004,8.24E-05,9.75E-05,0,3.63E-05,0,0,1.41E-05,1.01E-05,0,0,5.50E-05,5.68E-06,1.70E-05,8.44E-05,1.21E-05
P_PPB1,0.002228347,0.000194075,0.00098522,0.000329838,9.68E-05,2.00E-05,1.33E-05,0.000333078,8.59E-05,1.49E-05,0,0,0,0,0.000325265,0,0,0,0,0.001635036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77E-05,0,0,0,1.54E-05,0,6.36E-06,0,1.02E-05
P_Ps84H4,0.008766194,0,0.00079653,0.000720002,0.000278883,0,0,0.032673455,0.004550644,0,0,6.37E-05,0,0,0.007780211,0,0,0,0,0.305295391,0,0,0,0.001127553,0,0,0,0.000647355,0,0,0,1.48E-05,0,0,0,0,0,0,0,5.79E-06,0,0,0
P_R96,0.002676713,0,0.000381754,0,4.82E-05,1.49E-05,1.06E-05,0.000387184,0,0,0,0,0,0,0.000163731,0,0,0,0,0.000681749,0,0,0,2.69E-05,0,0,0,0,0,0,0,0,0,3.65E-06,1.18E-05,0,0,0,0,0,4.76E-06,0,2.03E-06
P_S2893,2.476614308,0.001592905,0.001647219,0.004872954,0.000943735,0.00012284,9.46E-05,0.000202503,0.000117552,4.09E-05,8.45E-05,0.000179715,0.000113536,1.51E-05,0.00115639,5.93E-05,0,5.91E-05,6.76E-05,0.002744133,0.000341989,7.62E-05,0,5.53E-05,8.36E-05,4.94E-05,0.000111538,0,0.000141997,6.89E-05,7.16E-05,2.51E-05,0.00051327,0.000295533,0.000695886,0.000238284,0.000339615,0.000405123,0.000568564,0.000137116,0.000187168,0.000142523,0.00012004
P_S3173,0.615097623,0.025086949,0.151184209,0.036941059,0.030889629,1.40E-05,9.31E-05,0.004170786,0.000320811,1.05E-05,7.86E-06,4.90E-05,8.30E-05,0,0.00275351,0,0,0,0,0.037737413,0,0,0,0.000320697,0,0,0,5.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_S3178,0.047069424,0.011440491,0.008993073,0.032185215,0.025062856,3.13E-05,4.00E-05,0.000232086,0.00021556,0,0,0,7.44E-06,1.38E-05,0.000875405,3.62E-05,0.000100291,9.03E-06,0,0.001961545,0,3.49E-05,0,1.69E-05,0,0,0,4.78E-05,8.68E-05,0,1.31E-05,7.66E-06,0.002583701,0.000946085,0.001350266,0.001316185,0.002736898,0.000644773,0.001370825,0.000918934,0.000800176,0.001850356,0.000662925
P_S3260,1.003553616,0.068204584,0.139477868,0.05889522,0.051024348,0.013839473,0.009047596,0.196474726,0.133779084,0.024818979,0.046894008,0.35930096,0.034407627,0.143390367,0.122167572,0.025251054,0.531418847,0.611811608,0.147716424,0.227207914,0.428484447,0.436946299,0.454019884,0.072060959,0.343087992,0.027038162,2.165384294,0.174710117,0.052210224,0.034060826,0.279777789,0.053785712,0.443491396,0.219488149,0.358713993,0.53042914,0.709524212,0.335499973,0.193007406,0.130171628,0.157846663,0.222799869,0.135270304
P_SCSIO11900,1.205645211,0.213696212,0.237337844,1.180505364,1.722221501,0.058620701,0.045264966,0.215054049,0.01804257,0.023474275,0.123150459,0.109084291,0.133216489,0.23990293,0.509478856,0.090384417,0.385554036,0.250179684,0.214077556,0.037953445,0.327255082,0.154068071,0.048233254,0.159169144,0.036379377,0.123828044,0.092496733,0.085479723,0.19867564,0.11967238,0.154278793,0.109517025,0.195507629,0.081591358,0.150001879,0.110434306,0.1978623,0.053876409,0.144564845,0.093586819,0.079781369,0.154268067,0.058041491
